GERMAN,ENGLISH
Ich,I
ist,is
ich,I
nicht,Not
Sie,she
du,you
das,the
die,the
es,it
und,and
der,the
zu,to
sie,you
Das,That
ein,a 
in,in
wir,we
Du,You
mir,me
mit,With
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,one
Es,It
hat,Has
Wir,we
Und,and
so,so
sind,are
von,from
dich,you
war,was
haben,to have
für,for
Ja,Yes
hier,here
an,on
habe,have
Er,He
bin,am
wie,how
noch,still
dir,to you
uns,us
sich,itself
Die,the
nur,only 
einen,a
Nein,no
dem,to the
ihn,him
auch,also
hast,have
sein,be
ihr,her
da,there
aus,out
kann,can
aber,but
Aber,but
schon,beautiful
wenn,if
wird,becomes
um,around
Wie,As
als,as
bist,are you
im,in the
mal,times
doch,yet
gut,Well
meine,think
jetzt,now
weiß,White
Wenn,if
werden,will
Der,Of the
nach,after
ja,Yes
Oh,Oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,no
etwas,some
alles,all
muss,got to
immer,always
nichts,Nothing
man,one
wieder,again
bei,at
hab,have
